,Clean Ingredients
5553,"['garlic clove', 'red chilli', 'lettuce', 'yogurt', 'lamb', 'sesame seed', 'mayonnaise', 'vegetable oil', 'tomato', 'gherkin']"
5554,"['chilli', 'olive oil', 'mint', 'sirloin steak', 'lamb', 'lemon', 'aubergine', 'coriander', 'flour']"
5555,"['caper', 'flour', 'olive oil', 'garlic clove', 'red chilli', 'watercress', 'fennel', 'lemon', 'mayonnaise', 'dill', 'cayenne pepper', 'parsley', 'crabmeat', 'spring onion', 'potato', 'fennel seed']"
5556,"['garlic clove', 'mint', 'lemon juice', 'cannellini bean', 'dill', 'feta cheese']"
5557,"['garlic clove', 'red onion', 'lime', 'red chilli', 'avocado', 'corn tortilla', 'caster sugar', 'crabmeat', 'spring onion', 'salad']"
5558,"['garlic clove', 'olive oil', 'spinach', 'red chilli', 'watercress', 'semolina flour', 'parmesan', 'cannellini bean', 'lemon', 'thyme', 'rosemary', 'water', 'artichoke heart']"
5559,"['egg', 'smoked paprika', 'mozzarella', 'sunflower oil', 'breadcrumb', 'dried oregano', 'flour']"
5560,"['garlic clove', 'olive oil', 'red onion', 'nigella seed', 'tomato', 'basil leaf']"
5561,"['olive oil', 'sweet potato', 'butter', 'lemon', 'mint leaf', 'parsley', 'red pepper']"
5562,"['egg', 'icing sugar', 'orange', 'pistachio', 'lemon', 'apple juice', 'caster sugar', 'peach', 'whipping cream', 'orange blossom']"
5563,"['raisin', 'egg', 'ground almond', 'butter', 'currant', 'plain flour', 'treacle', 'ginger', 'sultana', 'mixed spice', 'ground ginger', 'muscovado sugar']"
5564,"['icing sugar', 'butter', 'plain flour']"
5565,"['mixed dried fruit', 'egg', 'icing sugar', 'orange', 'butter', 'sunflower oil', 'strong white bread flour', 'pistachio', 'dried yeast', 'milk', 'cointreau', 'nutmeg', 'caster sugar', 'melted butter', 'marzipan', 'dried cranberry']"
5566,"['butter', 'bicarbonate of soda', 'plain flour', 'date', 'oat', 'brown sugar', 'cooking apple']"
5567,"['mixed dried fruit', 'egg', 'butter', 'baking powder', 'sugar', 'milk', 'demerara sugar', 'mixed spice', 'flour', 'muscovado sugar']"
5568,"['butter', 'red chilli', 'shallot', 'parsley', 'cornflour', 'flour', 'muscovado sugar', 'cheddar', 'carrot', 'fennel bulb', 'chive', 'olive oil', 'garlic clove', 'chestnut mushroom', 'green bean', 'sauvignon blanc', 'white wine', 'vegetable stock', 'soy sauce', 'new potato']"
5569,"['cherry tomato', 'olive oil', 'mushroom', 'parmesan', 'chervil', 'lemon', 'basil', 'green bean', 'parsley']"
5570,"['radish', 'white wine vinegar', 'cucumber', 'cheese', 'sugar', 'dijon mustard', 'mayonnaise', 'honey']"
5571,"['olive oil', 'chestnut mushroom', 'goat cheese', 'red onion', 'lettuce', 'dijon mustard', 'lentil', 'red wine vinegar', 'red pepper']"
5572,"['oregano', 'garlic clove', 'goat cheese', 'beetroot', 'extravirgin olive oil', 'lemon', 'asparagus', 'watercress', 'basil leaf', 'spring onion']"
5573,"['radish', 'plum tomato', 'garlic clove', 'cucumber', 'olive oil', 'goat cheese', 'red onion', 'lettuce', 'lemon', 'mint leaf', 'bread']"
5574,"['mascarpone', 'garlic clove', 'olive oil', 'butter', 'asparagus spear', 'vegetable stock', 'parmesan', 'ice cube', 'dry white wine', 'broad bean', 'shallot', 'pea', 'spring onion', 'fresh chive', 'risotto rice']"
5575,"['red wine', 'butter', 'onion', 'vegetable stock', 'parmesan', 'merlot', 'risotto rice']"
5576,"['parsnip', 'olive oil', 'frozen pea', 'carrot', 'onion', 'parmesan', 'chicken stock', 'bay leaf', 'risotto rice']"
5577,"['cinnamon stick', 'orange', 'butter', 'onion', 'port', 'red cabbage', 'sugar', 'ground clove', 'pitted prune']"
5578,"['flour', 'egg', 'sweet potato', 'goat cheese', 'sesame', 'longgrain rice', 'cranberry sauce', 'lemon', 'wild rice', 'rice', 'dill', 'parsley', 'spring onion', 'puff pastry', 'dried cranberry']"
5579,"['cheddar', 'garlic clove', 'butter', 'onion', 'double cream', 'chestnut', 'nutmeg', 'brussels sprout', 'whole milk', 'bay leaf', 'potato']"
5580,"['goat cheese', 'butter', 'spinach', 'extravirgin olive oil', 'balsamic vinegar', 'shallot', 'parsley', 'beetroot', 'sesame seed', 'honey', 'thyme', 'garlic clove', 'bay leaf', 'squash', 'hot water', 'vegetable stock', 'soy sauce', 'nutmeg', 'polenta', 'parmesan cheese']"
5581,"['olive oil', 'shiitake mushroom', 'chestnut mushroom', 'garlic clove', 'mushroom', 'onion', 'red wine', 'port', 'vegetable stock', 'brioche', 'celery', 'thyme', 'parsley']"
5582,"['sprout', 'unsalted butter', 'marmite']"
5583,"['black olive', 'hummus', 'carrot', 'chicory']"
5584,"['cheddar', 'egg', 'red onion', 'baking potato', 'cayenne pepper', 'spring onion', 'puff pastry']"
5585,"['egg', 'goat cheese', 'thyme leaf', 'extravirgin olive oil', 'puff pastry', 'cranberry sauce']"
5586,"['garlic clove', 'cheese', 'double cream', 'nutmeg', 'thyme', 'whole milk', 'bay leaf', 'salted butter', 'butternut squash']"
5587,"['parsnip', 'garlic clove', 'olive oil', 'butter', 'onion', 'double cream', 'thyme leaf', 'parmesan', 'milk', 'parsley', 'potato']"
5588,"['chilli', 'salted peanut', 'mixed vegetable', 'plain flour', 'lager', 'cornflour', 'spring onion', 'hot dog', 'red pepper']"
5589,"['cherry tomato', 'butter', 'red onion', 'extra virgin olive oil', 'sugar', 'lime', 'lettuce', 'avocado', 'coriander', 'corn', 'red wine vinegar', 'chipotle', 'macadamia nut']"
5590,"['sherry vinegar', 'olive oil', 'garlic clove', 'smoked paprika', 'broccoli', 'red chilli', 'sourdough bread', 'red pepper', 'blanched almond']"
5591,"['pearl barley', 'garlic clove', 'olive oil', 'mint', 'onion', 'ricotta', 'vegetable stock', 'parmesan', 'lemon', 'basil', 'broad bean']"
5592,"['chilli', 'garlic clove', 'garam masala', 'spinach', 'turmeric', 'onion', 'paneer', 'lemon', 'ginger', 'ghee', 'chilli powder']"
5593,"['ground coriander', 'chilli', 'egg', 'brown basmati rice', 'mango chutney', 'onion', 'turmeric', 'coconut milk', 'coriander', 'ginger', 'rapeseed oil', 'chilli powder']"
5594,"['beetroot', 'hummus', 'lemon', 'broad bean', 'rye bread']"
5595,"['olive oil', 'garlic clove', 'mint', 'extra virgin olive oil', 'spelt flour', 'dried yeast', 'plain flour', 'thyme', 'caster sugar', 'red wine vinegar', 'watercress', 'wholemeal', 'potato']"
5596,"['sherry vinegar', 'tarragon', 'red onion', 'extra virgin olive oil', 'ricotta', 'dijon mustard', 'chervil', 'basil', 'broad bean', 'garlic', 'parsley', 'tomato', 'caper']"
5597,"['mascarpone', 'egg', 'sweet potato', 'pesto', 'butter', 'egg yolk', 'olive oil', 'spelt flour', 'lemon', 'aubergine', 'thyme', 'breadcrumb']"
5598,"['egg', 'sweet potato', 'smoked paprika', 'red onion', 'lime', 'avocado', 'ground cumin', 'coriander', 'vegetable oil', 'tortilla chip', 'black bean']"
5599,"['egg', 'butter', 'sesame seed', 'parmesan', 'filo', 'lemon', 'grated nutmeg', 'salad']"
5600,"['margarine', 'ground almond', 'dark chocolate', 'baking powder', 'ground flaxseed', 'coffee granule', 'caster sugar', 'cocoa powder', 'flour', 'vanilla extract']"
5601,"['maple syrup', 'garlic clove', 'cucumber', 'carrot', 'onion', 'lime', 'coconut milk', 'cornflour', 'ground turmeric', 'cooked rice', 'mint leaf', 'tofu', 'ginger', 'rapeseed oil', 'breadcrumb', 'curry powder']"
5602,"['baking powder', 'plain flour', 'dried fruit', 'vegetable oil', 'banana', 'mixed spice', 'brown sugar']"
5603,"['onion', 'red chilli', 'tomato', 'boiling water', 'brown basmati rice', 'smoked paprika', 'ground cumin', 'bean', 'ground coriander', 'tamarind', 'olive oil', 'garlic clove', 'vegetable', 'green lentil', 'coriander', 'ground turmeric', 'ginger', 'coconut', 'cauliflower']"
5604,"['white wine vinegar', 'mint', 'red cabbage', 'tempeh', 'hummus', 'sriracha', 'coriander', 'baguette', 'caster sugar', 'hot sauce']"
5605,"['garlic clove', 'smoked paprika', 'yellow pepper', 'red onion', 'lime', 'avocado', 'yogurt', 'ground cumin', 'coriander', 'vegetable oil', 'black bean', 'tortilla', 'chilli powder']"
5606,"['apricot', 'golden syrup', 'light brown sugar', 'dried fruit', 'rolled oat', 'nut', 'dried cranberry']"
5607,"['chia seed', 'unsweetened almond milk', 'almond', 'blueberry', 'raspberry', 'oat', 'vanilla extract']"
5608,"['orange', 'avocado', 'lime', 'sweetcorn', 'coriander', 'tomato', 'spring onion', 'red pepper']"
5609,"['baking powder', 'chocolate chip', 'coconut milk', 'sugar', 'coconut oil', 'plain flour', 'caster sugar', 'vanilla extract']"
5610,"['carrot', 'lime', 'sesame seed', 'sesame oil', 'lentil', 'coriander', 'rapeseed oil', 'gram flour', 'spring onion']"
5611,"['olive oil', 'mint', 'lemon', 'olive', 'parsley', 'tomato', 'artichoke']"
5612,"['olive oil', 'lime', 'watermelon', 'coriander', 'shallot']"
5613,"['cucumber', 'orange', 'beetroot', 'red chilli', 'lime', 'tortilla chip', 'coriander', 'tomato']"
5614,"['radish', 'garlic clove', 'cucumber', 'carrot', 'extra virgin olive oil', 'noodle', 'lemon', 'aubergine', 'water', 'tahini']"
5615,"['olive oil', 'carrot', 'extra virgin olive oil', 'chickpea', 'flatbread', 'lemon', 'garlic', 'cumin seed', 'harissa']"
5616,"['chilli', 'olive oil', 'garlic clove', 'cheese', 'strong white bread flour', 'dried yeast', 'basil', 'passata', 'caster sugar', 'tomato', 'dried oregano']"
5617,"['garlic clove', 'baby potato', 'olive oil']"
5618,"['garlic clove', 'sausage', 'nutmeg', 'vegetable oil', 'dried sage', 'soy milk', 'puff pastry']"
5619,"['radish', 'olive oil', 'cucumber', 'beetroot', 'carrot', 'red onion', 'orange', 'avocado', 'ground cumin', 'lemon', 'sweetcorn', 'lime juice', 'poppy seed', 'caster sugar', 'red pepper']"
5620,"['garlic clove', 'spinach leaf', 'red onion', 'avocado', 'lime', 'coriander', 'chopped tomato', 'rice', 'hazelnut', 'black bean', 'chipotle', 'hot sauce', 'tortilla wrap']"
5621,"['chilli', 'garlic clove', 'carrot', 'chickpea', 'avocado', 'lime', 'sugar', 'pepper', 'coriander']"
5622,"['chilli', 'garlic clove', 'plum tomato', 'palm sugar', 'onion', 'coconut milk', 'tamarind paste', 'coriander', 'curry leaf', 'cooked rice', 'black mustard seed', 'ground turmeric', 'rapeseed oil', 'tomato', 'cumin seed', 'sea salt', 'fennel seed']"
5623,"['garlic clove', 'leek', 'ground cinnamon', 'coconut milk', 'coconut oil', 'curry leaf', 'ginger', 'chilli powder', 'tamarind paste']"
5624,"['chilli', 'coconut milk', 'red chilli', 'coconut oil', 'vegetable stock', 'cashew nut', 'lemongrass', 'buckwheat', 'sesame oil', 'coconut', 'kaffir lime', 'coriander', 'aubergine', 'green bean', 'ginger', 'spring onion', 'red pepper']"
5625,"['raisin', 'garlic clove', 'naan', 'onion', 'chickpea', 'coconut milk', 'cashew nut', 'mild curry powder', 'chopped tomato', 'rice', 'ginger', 'butternut squash']"
5626,"['ground coriander', 'olive oil', 'onion', 'red chilli', 'coriander', 'okra', 'tomato']"
5627,"['maple syrup', 'udon', 'garlic clove', 'carrot', 'red chilli', 'coconut milk', 'soy sauce', 'cashew nut', 'sesame oil', 'mild curry powder', 'green bean', 'vegetable oil', 'coriander', 'ginger']"
5628,"['margarine', 'plain flour', 'peanut butter', 'caster sugar', 'vanilla', 'roasted peanut']"
5629,"['butter', 'currant', 'milk', 'nutmeg', 'sprinkle', 'caster sugar', 'flour', 'sea salt']"
5630,"['muscovado sugar', 'apple cider vinegar', 'icing sugar', 'baking powder', 'dark chocolate', 'sunflower oil', 'coconut milk', 'bicarbonate of soda', 'sprinkle', 'coconut', 'cocoa powder', 'flour', 'vanilla bean paste']"
5631,"['olive oil', 'plain flour', 'caster sugar', 'cornflour', 'vanilla extract']"
5632,"['cauliflower', 'garlic clove', 'olive oil', 'sunflower oil', 'plain flour', 'lemon', 'coriander', 'parsley', 'water', 'cornflour', 'caper']"
5633,"['olive oil', 'goat cheese', 'strong white bread flour', 'dried yeast', 'rosemary', 'red grape', 'sea salt']"
5634,"['caper', 'fennel frond', 'pork belly', 'extra virgin olive oil', 'red chilli', 'sourdough', 'lemon', 'basil', 'caster sugar', 'peach', 'banana', 'cider vinegar', 'fennel seed']"
5635,"['red wine vinegar', 'garlic clove', 'extra virgin olive oil', 'blanched almond']"
5636,"['radish', 'garlic clove', 'mint', 'olive oil', 'cucumber', 'lemon', 'butter bean', 'parsley']"
5637,"['olive oil', 'lime', 'wild rice', 'coriander', 'cashew', 'spring onion']"
5638,"['carrot', 'onion', 'fennel bulb', 'salad', 'celery', 'gooseberry', 'pea', 'tomato', 'rapeseed oil', 'pea pod', 'frond']"
5639,"['olive oil', 'garlic clove', 'chickpea', 'lemon juice', 'celery', 'breadstick', 'roasted red pepper', 'chilli powder']"
5640,"['garlic clove', 'olive oil', 'shallot', 'spinach']"
5641,"['orange', 'sunflower oil', 'pink grapefruit', 'honey', 'turkey breast', 'ginger', 'cornflour', 'long grain rice', 'chive']"
5642,"['cherry tomato', 'egg', 'pesto', 'broccoli', 'sunflower oil', 'plain flour', 'lemon', 'butter bean', 'turkey breast', 'parsley', 'breadcrumb']"
5643,"['garlic clove', 'mint', 'cucumber', 'smoked paprika', 'red onion', 'lemon', 'bulgur wheat', 'turkey breast', 'parsley', 'tomato', 'greek yogurt']"
5644,"['peppercorn', 'garlic clove', 'egg', 'cinnamon stick', 'onion', 'steak', 'carrot', 'red chilli', 'soy sauce', 'plain flour', 'vegetable oil', 'ginger', 'tomato', 'star anise', 'puff pastry']"
5645,"['olive oil', 'chestnut mushroom', 'steak', 'red onion', 'port', 'porcini mushroom', 'plain flour']"
5646,"['parsnip', 'cheddar', 'olive oil', 'red wine', 'onion', 'steak', 'carrot', 'baking powder', 'vegetable stock', 'pepper', 'tomato paste', 'plain flour', 'milk', 'bay leaf']"
5647,"['butter', 'red chilli', 'red pepper', 'plum tomato', 'carrot', 'ground cumin', 'plain flour', 'thyme', 'potato', 'olive oil', 'garlic clove', 'bay leaf', 'red wine', 'steak', 'red onion', 'red kidney bean', 'cinnamon', 'beef stock', 'granulated sugar']"
5648,"['red wine', 'garlic clove', 'egg', 'butter', 'steak', 'onion', 'sunflower oil', 'carrot', 'plain flour', 'celery', 'thyme', 'beef stock', 'caster sugar', 'bay leaf', 'tomato', 'star anise', 'puff pastry', 'sea salt']"
5649,"['chilli', 'prawn', 'garlic clove', 'onion', 'coconut cream', 'vegetable stock', 'coriander', 'vegetable oil', 'curry paste', 'tomato']"
5650,"['garlic clove', 'toasted sesame oil', 'rice wine vinegar', 'sesame seed', 'soy sauce', 'boneless chicken thigh', 'sticky rice', 'honey', 'ginger', 'spring onion']"
5651,"['garlic clove', 'olive oil', 'chicken breast', 'romaine lettuce', 'yogurt', 'parmesan', 'lemon', 'streaky bacon', 'worcestershire sauce']"
5652,"['prawn', 'mint', 'fish sauce', 'lime', 'sugar', 'vegetable stock', 'red chilli', 'star anise', 'rice noodle']"
5653,"['butter', 'chocolate', 'double cream', 'vanilla ice cream', 'sultana', 'muscovado sugar']"
5654,"['spinach', 'lamb', 'chicken stock', 'curry paste', 'basmati rice', 'cold water']"
5655,"['butter', 'golden syrup', 'brown sugar', 'milk', 'flour']"
5656,"['double cream', 'meringue', 'cherry', 'dark chocolate']"
5657,"['butter', 'lemon curd', 'raspberry jam', 'raspberry', 'custard', 'whole milk']"
5658,"['food colouring', 'condensed milk', 'double cream', 'strawberry', 'peach', 'vanilla extract']"
5659,"['hazelnut', 'chocolate', 'pear', 'vanilla ice cream']"
5660,"['garlic clove', 'onion', 'vegetable stock', 'fish fillet', 'vegetable oil', 'curry paste', 'rice', 'tomato']"
5661,"['olive oil', 'leek', 'turmeric', 'chorizo', 'chicken stock', 'long grain rice', 'frozen pea']"
5662,"['chilli', 'pork belly', 'garlic clove', 'toasted sesame oil', 'lettuce', 'brown sugar', 'sesame seed', 'soy sauce', 'pear', 'bean paste', 'mirin', 'sesame oil', 'rice', 'white onion', 'ginger', 'spring onion']"
5663,"['garlic clove', 'olive oil', 'goat cheese', 'spaghetti', 'red chilli', 'broccoli', 'pancetta', 'banana', 'bread']"
5664,"['corn flour', 'unsalted butter', 'baking powder', 'egg yolk', 'cognac', 'plain flour', 'lemon', 'caster sugar', 'coconut', 'vanilla extract']"
5665,"['soda', 'mint', 'lemon', 'ice', 'caster sugar', 'ginger', 'muscovado sugar']"
5666,"['smoked paprika', 'garlic granule', 'sugar', 'honey', 'mustard', 'cider vinegar', 'chicken', 'sea salt']"
5667,"['garlic clove', 'beetroot', 'lemon', 'mayonnaise', 'coriander', 'turkey breast', 'dill', 'greek yogurt', 'parsley', 'wholemeal', 'rapeseed oil', 'red pepper', 'harissa']"
5668,"['garlic clove', 'black olive', 'lemon thyme', 'boneless chicken thigh', 'lemon', 'pine nut', 'parsley', 'rapeseed oil', 'tomato']"
5669,"['ketchup', 'garlic clove', 'smoked paprika', 'orange', 'butter', 'worcestershire sauce', 'cider vinegar', 'muscovado sugar']"
5670,"['rhubarb', 'egg', 'ground cinnamon', 'baking powder', 'butter', 'sunflower oil', 'buttermilk', 'bicarbonate of soda', 'plain flour', 'caster sugar', 'oat', 'vanilla extract', 'muscovado sugar']"
5671,"['egg', 'black olive', 'baking powder', 'red onion', 'sunflower oil', 'bicarbonate of soda', 'parmesan', 'plain flour', 'milk', 'polenta', 'beef', 'rapeseed oil', 'wholemeal', 'dried oregano']"
5672,"['pecan', 'apple', 'baking powder', 'nut butter', 'sugar', 'plain flour', 'demerara sugar', 'grapeseed oil', 'soy milk', 'muesli']"
5673,"['egg', 'baking powder', 'buttermilk', 'lemon', 'caster sugar', 'banana', 'rapeseed oil', 'wholemeal', 'flour', 'blueberry', 'muscovado sugar']"
5674,"['egg', 'butter', 'dark chocolate', 'white chocolate', 'bicarbonate of soda', 'cherry', 'yogurt', 'caster sugar', 'flour']"
5675,"['unsalted butter', 'egg', 'ground almond', 'ground cinnamon', 'baking powder', 'butter', 'blueberry jam', 'yogurt', 'bicarbonate of soda', 'blueberry', 'milk', 'plain flour', 'demerara sugar', 'caster sugar', 'almond extract', 'almond', 'vanilla extract']"
5676,"['egg white', 'ice', 'gin', 'grenadine', 'lemon zest']"
5677,"['ice', 'lemon zest', 'whiskey']"
5678,"['dry vermouth', 'lemon peel', 'vodka']"
5679,"['lime', 'ice', 'caster sugar']"
5680,"['triple sec', 'rum', 'lime', 'reposado', 'lime juice', 'ice', 'cola', 'gin', 'vanilla']"
5681,"['white sugar', 'champagne', 'orange', 'bitter', 'brandy']"
5682,"['cheddar', 'butter', 'mushroom', 'ham', 'plain flour', 'milk', 'spring onion']"
5683,"['olive oil', 'leek', 'mushroom', 'plain flour', 'lemon', 'orzo', 'thyme', 'cod']"
5684,"['olive oil', 'goat cheese', 'onion', 'sugar', 'aubergine', 'chopped tomato', 'basil leaf']"
5685,"['cherry tomato', 'olive oil', 'parmesan', 'pancetta', 'asparagus', 'basil leaf']"
5686,"['pasta sauce', 'red wine', 'mushroom', 'parmesan', 'sausage', 'fennel seed']"
5687,"['olive oil', 'spinach', 'penne pasta', 'parmesan', 'sausage', 'pine nut']"
5688,"['garlic clove', 'mushroom', 'penne pasta', 'vegetable stock', 'lemon', 'mustard', 'parsley']"
5689,"['garlic clove', 'olive oil', 'red chilli', 'extravirgin olive oil', 'ginger', 'parsley', 'tomato']"
5690,"['prawn', 'garlic clove', 'butter', 'smoked paprika', 'chorizo', 'lemon', 'squid', 'new potato', 'corn', 'parsley', 'rapeseed oil', 'mussel']"
5691,"['butter', 'dark chocolate', 'caster sugar', 'hazelnut', 'flour']"
5692,"['garlic clove', 'olive oil', 'dry sherry', 'mushroom', 'balsamic vinegar', 'thyme', 'beef stock', 'mustard', 'parsley']"
5693,"['garlic clove', 'olive oil', 'red wine', 'butter', 'balsamic vinegar', 'rosemary', 'shallot', 'beef stock']"
5694,"['olive oil', 'garlic clove', 'butter', 'steak', 'red chilli', 'thyme leaf', 'lemon', 'chip', 'parsley', 'potato', 'salad']"
5695,"['red wine', 'butter', 'mushroom', 'sunflower oil', 'rump steak', 'thyme']"
5696,"['garlic clove', 'olive oil', 'potato', 'red onion']"
5697,"['dry sherry', 'butter', 'sunflower oil', 'double cream', 'mashed potato', 'porcini mushroom', 'balsamic vinegar', 'shallot', 'venison']"
5698,"['garlic clove', 'olive oil', 'sirloin steak', 'butter', 'egg yolk', 'white wine', 'parmesan', 'parsley', 'chive']"
5699,"['olive oil', 'red chilli', 'watercress', 'rump steak', 'balsamic vinegar', 'hazelnut']"
5700,"['chive', 'sirloin steak', 'potato', 'horseradish']"
5701,"['prawn', 'egg', 'garlic clove', 'five spice', 'sunflower oil', 'soy sauce', 'chorizo', 'basmati rice', 'bacon', 'spring onion', 'red pepper', 'frozen pea']"
5702,"['cucumber', 'red onion', 'lettuce', 'coconut milk', 'lime', 'sugar', 'coriander', 'mango', 'vegetable oil', 'black bean', 'taco shell', 'king prawn']"
5703,"['carrot', 'red onion', 'fennel bulb', 'yogurt', 'sausage', 'mayonnaise', 'honey', 'mustard', 'wholemeal']"
5704,"['egg', 'walnut', 'butter', 'cinnamon', 'honey', 'date', 'banana', 'flour', 'muscovado sugar']"
5705,"['egg', 'icing sugar', 'butter', 'plain flour', 'lemon', 'caster sugar']"
5706,"['butter', 'egg yolk', 'icing', 'white chocolate', 'plain flour', 'milk chocolate chip', 'caster sugar', 'vanilla extract']"
5707,"['mascarpone', 'egg', 'ground almond', 'shortcrust pastry', 'white chocolate', 'raspberry', 'caster sugar']"
5708,"['egg', 'icing sugar', 'butter', 'baking powder', 'chocolate', 'plain chocolate', 'caster sugar', 'cocoa powder', 'flour']"
5709,"['butter', 'milk', 'lemon', 'cream', 'rice', 'caster sugar', 'vanilla pod']"
5710,"['cooked chicken', 'naan', 'cucumber', 'yogurt', 'mint leaf', 'iceberg lettuce', 'spring onion']"
5711,"['cherry tomato', 'pasta', 'basil', 'cooked chicken', 'red pepper']"
5712,"['garlic clove', 'olive oil', 'mozzarella', 'sugar', 'parmesan', 'lasagne', 'aubergine', 'passata', 'red wine vinegar', 'basil leaf', 'dried oregano', 'breadcrumb']"
5713,"['egg', 'pecan', 'butter', 'baking powder', 'sunflower oil', 'milk', 'cinnamon', 'caster sugar', 'banana', 'flour', 'egg white']"
5714,"['cream cheese', 'egg', 'icing sugar', 'food colouring', 'butter', 'light brown sugar', 'milk', 'raspberry', 'flour', 'vanilla extract', 'caramel']"
5715,"['unsalted butter', 'egg', 'icing sugar', 'cocoa', 'bicarbonate of soda', 'plain flour', 'cream', 'passion fruit', 'caster sugar', 'flour', 'cream cheese']"
5716,"['unsalted butter', 'egg', 'icing sugar', 'baking powder', 'chocolate chip', 'hot water', 'chocolate', 'bicarbonate of soda', 'plain flour', 'cream', 'plain chocolate', 'cocoa powder', 'vanilla extract', 'muscovado sugar']"
5717,"['egg', 'ground almond', 'butter', 'baking powder', 'lemon', 'caster sugar', 'granulated sugar', 'flour', 'vanilla extract']"
5718,"['unsalted butter', 'egg', 'ground almond', 'meringue', 'icing sugar', 'baking powder', 'double cream', 'strawberry', 'plain flour', 'caster sugar', 'vanilla']"
5719,"['egg', 'butter', 'lime', 'lemon', 'caster sugar', 'granulated sugar', 'flour', 'vanilla extract']"
5720,"['unsalted butter', 'egg', 'butter', 'carrot', 'coconut', 'mixed spice', 'flour', 'vanilla extract', 'muscovado sugar']"
5721,"['icing sugar', 'beetroot', 'baking powder', 'dark chocolate', 'brown sugar', 'yogurt', 'milk', 'rapeseed oil', 'cocoa powder', 'flour', 'vanilla extract']"
5722,"['egg', 'icing sugar', 'orange', 'apple', 'butter', 'baking powder', 'icing', 'cinnamon', 'caster sugar', 'sultana', 'flour']"
5723,"['egg', 'pecan', 'butter', 'baking powder', 'apple', 'bicarbonate of soda', 'plain flour', 'cream', 'cinnamon', 'milk', 'muscovado sugar']"
5724,"['rhubarb', 'egg', 'orange', 'cream', 'vegetable oil', 'custard', 'caster sugar', 'flour', 'muscovado sugar']"
5725,"['cheddar', 'egg', 'onion', 'baking powder', 'red chilli', 'buttermilk', 'plain flour', 'milk', 'sweetcorn', 'polenta', 'melted butter']"
5726,"['egg', 'cranberry', 'cheese', 'baking powder', 'plain flour', 'sunflower', 'caster sugar', 'vanilla extract']"
5727,"['cheddar', 'egg', 'leek', 'baking powder', 'bicarbonate of soda', 'milk', 'plain flour', 'allspice', 'vegetable oil']"
5728,"['apricot', 'olive oil', 'sausage', 'dry white wine', 'streaky bacon', 'mustard', 'pitted prune']"
5729,"['white wine vinegar', 'olive oil', 'mint', 'leek', 'dijon mustard', 'honey', 'parsley', 'frozen pea']"
5730,"['butter', 'sunflower oil', 'parmesan', 'milk', 'plain flour', 'brussels sprout', 'bacon', 'breadcrumb', 'mustard powder']"
5731,"['potato', 'turmeric', 'sunflower oil', 'plain flour', 'duck', 'polenta', 'paprika', 'sea salt']"
5732,"['sherry vinegar', 'olive oil', 'orange', 'red onion', 'wild rice', 'honey', 'parsley', 'pomegranate', 'dill', 'hazelnut', 'cumin seed', 'butternut squash', 'dried cranberry']"
5733,"['red wine', 'cinnamon stick', 'apple', 'onion', 'red cabbage', 'sugar', 'vegetable oil', 'star anise']"
5734,"['white wine vinegar', 'unsalted butter', 'cranberry', 'ham', 'orange', 'white peppercorn', 'demerara sugar', 'honey', 'thyme', 'bay leaf', 'mace', 'star anise']"
5735,"['raisin', 'apple', 'orange', 'currant', 'armagnac', 'lemon', 'candied peel', 'beef', 'sultana', 'mixed spice', 'muscovado sugar']"
5736,"['mace', 'honey', 'butter']"
5737,"['kidney bean', 'cheese', 'cream', 'sweetcorn', 'coriander', 'chicken stock', 'iceberg lettuce', 'taco shell', 'turkey', 'chipotle', 'long grain rice']"
5738,"['kidney bean', 'onion', 'sunflower oil', 'rump steak', 'avocado', 'lime', 'ground cumin', 'cream', 'coriander', 'vegetable oil', 'black bean', 'tomato', 'roasted red pepper', 'chipotle', 'brown sugar', 'paprika']"
5739,"['egg', 'butter', 'leek', 'cod fillet', 'ground nutmeg', 'double cream', 'parmesan', 'plain flour', 'milk', 'lasagne', 'crabmeat']"
5740,"['olive oil', 'egg', 'onion', 'parmesan', 'milk', 'plain flour', 'nutmeg', 'basil leaf', 'chopped tomato', 'bacon', 'dried oregano']"
5741,"['cherry tomato', 'pesto', 'butter', 'mozzarella', 'baby spinach', 'parmesan', 'plain flour', 'milk', 'lasagne', 'basil leaf', 'grated nutmeg']"
5742,"['walnut', 'butter', 'leek', 'mozzarella', 'kale', 'sage leaf', 'cheese', 'plain flour', 'nutmeg', 'lasagne', 'cabbage', 'whole milk', 'bay leaf', 'mace', 'walnut oil']"
5743,"['pork', 'chopped tomato', 'mozzarella', 'spaghetti', 'parmesan', 'red wine vinegar', 'ciabatta', 'garlic clove', 'olive oil', 'marmite', 'milk', 'beef', 'egg', 'red wine', 'white bread', 'parsley leaf', 'nutmeg', 'caster sugar', 'dried oregano']"
5744,"['cheddar', 'butter', 'cheese', 'macaroni', 'parmesan', 'whole milk']"
5745,"['garlic clove', 'olive oil', 'onion', 'spaghetti', 'double cream', 'parmesan', 'lemon', 'pork', 'parsley', 'frozen pea']"
5746,"['garlic clove', 'olive oil', 'broccoli', 'red chilli', 'lemon', 'anchovy fillet', 'breadcrumb', 'orecchiette']"
5747,"['olive oil', 'garlic clove', 'fusilli', 'saffron', 'white wine', 'hot water', 'mussel', 'lemon', 'cream', 'pine nut', 'parsley', 'tomato', 'king prawn', 'scallop', 'pasta']"
